Time_s   Intensity_dB
0.035380   30.658563
0.043801   35.415288
0.052222   42.704366
0.060643   48.254992
0.069064   51.164335
0.077485   51.457733
0.085906   49.633364
0.094327   46.576626
0.102748   43.528642
0.111169   41.403838
0.119590   41.475687
0.128012   42.120888
0.136433   42.564559
0.144854   42.317770
0.153275   41.167223
0.161696   40.570194
0.170117   40.388412
0.178538   41.118246
0.186959   42.084130
0.195380   41.263748
0.203801   39.954118
0.212222   39.788019
0.220643   39.883148
0.229064   40.069469
0.237485   40.024038
0.245906   38.995601
0.254327   38.374297
0.262748   39.029539
0.271169   40.179994
0.279590   41.960198
0.288012   43.947214
0.296433   45.114978
0.304854   44.742326
0.313275   42.544220
0.321696   39.506961
0.330117   37.239864
0.338538   36.085469
0.346959   35.969714
0.355380   34.743569
0.363801   33.131701
0.372222   33.243779
0.380643   36.185951
0.389064   48.090969
0.397485   60.232470
0.405906   68.389011
0.414327   72.547894
0.422748   74.210447
0.431169   75.585839
0.439590   77.360674
0.448012   78.240267
0.456433   78.296044
0.464854   78.935107
0.473275   78.943718
0.481696   78.117332
0.490117   77.975374
0.498538   78.566474
0.506959   80.079032
0.515380   81.280203
0.523801   81.531907
0.532222   81.681619
0.540643   82.111683
0.549064   82.457277
0.557485   82.443548
0.565906   82.182269
0.574327   81.973327
0.582748   81.757584
0.591169   81.365499
0.599590   80.697514
0.608012   79.728640
0.616433   78.497093
0.624854   75.965922
0.633275   71.562704
0.641696   69.044311
0.650117   68.781290
0.658538   66.385020
0.666959   61.565441
0.675380   58.789443
0.683801   58.435497
0.692222   57.859621
0.700643   57.121731
0.709064   56.855660
0.717485   62.250745
0.725906   70.578617
0.734327   75.485836
0.742748   77.299052
0.751169   77.731838
0.759590   77.448509
0.768012   75.747527
0.776433   72.291253
0.784854   68.822507
0.793275   67.122379
0.801696   63.588490
0.810117   58.556122
0.818538   55.946503
0.826959   54.787532
0.835380   54.834321
0.843801   53.108038
0.852222   49.450529
0.860643   48.029218
0.869064   50.245374
0.877485   51.444546
0.885906   52.618625
0.894327   66.955562
0.902748   77.379830
0.911169   82.649005
0.919590   84.036767
0.928012   83.255880
0.936433   82.249800
0.944854   81.632318
0.953275   81.317325
0.961696   81.018461
0.970117   80.330504
0.978538   79.276351
0.986959   78.898652
0.995380   79.515255
1.003801   79.853209
1.012222   79.664929
1.020643   79.249737
1.029064   78.245038
1.037485   77.019066
1.045906   77.456722
1.054327   79.490888
1.062748   81.002448
1.071169   81.351198
1.079590   81.127497
1.088012   80.935394
1.096433   80.802346
1.104854   80.730030
1.113275   80.667491
1.121696   80.521238
1.130117   80.393883
1.138538   80.211137
1.146959   79.983170
1.155380   79.873562
1.163801   79.795054
1.172222   79.528829
1.180643   79.101894
1.189064   78.793738
1.197485   78.706711
1.205906   78.673378
1.214327   78.592238
1.222748   78.274729
1.231169   77.561047
1.239590   76.551483
1.248012   75.625986
1.256433   74.963134
1.264854   73.661818
1.273275   71.214274
1.281696   68.242211
1.290117   66.873151
1.298538   65.412829
1.306959   62.325867
1.315380   61.847456
1.323801   64.595677
1.332222   66.854414
1.340643   67.138461
1.349064   66.097452
1.357485   65.602908
1.365906   65.693560
1.374327   64.945796
1.382748   62.136530
1.391169   57.039835
1.399590   50.802258
1.408012   46.474342
1.416433   44.328841
1.424854   45.611581
1.433275   52.667737
1.441696   68.867121
1.450117   78.289036
1.458538   82.589135
1.466959   83.065291
1.475380   81.892924
1.483801   81.236341
1.492222   81.243437
1.500643   81.122624
1.509064   79.382630
1.517485   75.805546
1.525906   72.805805
1.534327   69.974224
1.542748   66.894288
1.551169   70.038043
1.559590   78.530680
1.568012   84.013545
1.576433   86.023222
1.584854   86.056162
1.593275   85.403532
1.601696   84.621793
1.610117   83.391856
1.618538   81.759379
1.626959   80.824012
1.635380   79.485353
1.643801   77.506172
1.652222   74.320723
1.660643   71.429300
1.669064   71.318870
1.677485   71.553582
1.685906   72.072790
1.694327   72.731133
1.702748   72.822327
1.711169   73.113217
1.719590   75.520996
1.728012   79.818476
1.736433   82.359012
1.744854   82.287357
1.753275   81.250861
1.761696   81.003347
1.770117   81.005045
1.778538   80.792312
1.786959   80.546357
1.795380   80.619265
1.803801   80.799853
1.812222   80.792410
1.820643   80.371714
1.829064   79.577490
1.837485   78.970369
1.845906   78.917054
1.854327   79.225540
1.862748   79.548977
1.871169   79.839800
1.879590   79.927134
1.888012   79.452572
1.896433   78.515238
1.904854   77.523903
1.913275   76.911998
1.921696   77.024585
1.930117   77.596212
1.938538   78.192533
1.946959   78.687418
1.955380   79.378057
1.963801   81.189821
1.972222   83.618477
1.980643   84.952035
1.989064   85.293922
1.997485   86.492871
2.005906   88.707178
2.014327   90.327067
2.022748   90.928463
2.031169   90.239537
2.039590   87.387922
2.048012   81.657050
2.056433   75.745026
2.064854   73.650549
2.073275   70.414111
2.081696   66.989668
2.090117   66.065982
2.098538   66.576152
2.106959   67.424480
2.115380   67.924973
2.123801   67.940171
2.132222   70.527800
2.140643   77.016577
2.149064   81.016236
2.157485   82.820189
2.165906   84.284125
2.174327   85.492142
2.182748   85.709269
2.191169   85.530113
2.199590   85.549445
2.208012   86.243332
2.216433   87.273268
2.224854   88.061906
2.233275   88.497654
2.241696   88.800683
2.250117   89.123915
2.258538   89.306564
2.266959   89.154115
2.275380   88.392119
2.283801   86.842486
2.292222   85.754070
2.300643   86.914012
2.309064   88.315713
2.317485   88.430945
2.325906   87.258810
2.334327   85.444648
2.342748   83.683936
2.351169   81.788161
2.359590   79.393322
2.368012   76.403320
2.376433   72.663390
2.384854   69.367718
2.393275   68.303486
2.401696   67.574840
2.410117   66.024641
2.418538   63.141885
2.426959   58.663864
2.435380   53.135572
2.443801   51.969716
2.452222   54.706849
2.460643   55.937425
2.469064   55.250031
2.477485   58.973741
2.485906   64.261192
2.494327   69.011478
2.502748   76.724948
2.511169   82.744776
2.519590   85.780803
2.528012   86.715222
2.536433   86.950158
2.544854   87.063613
2.553275   86.823697
2.561696   86.147249
2.570117   84.892702
2.578538   83.448975
2.586959   83.066239
2.595380   83.759508
2.603801   84.500771
2.612222   85.145933
2.620643   86.076749
2.629064   87.039301
2.637485   87.871775
2.645906   88.515574
2.654327   88.808268
2.662748   88.894119
2.671169   88.892088
2.679590   88.689397
2.688012   88.215716
2.696433   87.572653
2.704854   86.892519
2.713275   86.254943
2.721696   85.681333
2.730117   85.228567
2.738538   84.846704
2.746959   84.474376
2.755380   83.952090
2.763801   83.316313
2.772222   82.788243
2.780643   82.440169
2.789064   81.581792
2.797485   79.726083
2.805906   76.917672
2.814327   75.202268
2.822748   77.737861
2.831169   80.581727
2.839590   82.222118
2.848012   82.744046
2.856433   82.151296
2.864854   80.837389
2.873275   80.066766
2.881696   80.969179
2.890117   82.732768
2.898538   84.224258
2.906959   85.130418
2.915380   85.540059
2.923801   85.672790
2.932222   85.777366
2.940643   85.865813
2.949064   85.801614
2.957485   85.577915
2.965906   85.278071
2.974327   85.002533
2.982748   84.779764
2.991169   84.553605
2.999590   84.324592
3.008012   84.224095
3.016433   84.346770
3.024854   84.555589
3.033275   84.535581
3.041696   83.836106
3.050117   81.953611
3.058538   78.872611
3.066959   76.884461
3.075380   77.543696
3.083801   78.514206
3.092222   78.224163
3.100643   76.811928
3.109064   76.010800
3.117485   75.519162
3.125906   74.553803
3.134327   73.571676
3.142748   73.113171
3.151169   72.644052
3.159590   71.395013
3.168012   68.965517
3.176433   65.602106
3.184854   62.269836
3.193275   61.691063
3.201696   64.612538
3.210117   68.414140
3.218538   71.719652
3.226959   74.202467
3.235380   75.955423
3.243801   77.126889
3.252222   78.131386
3.260643   79.220112
3.269064   80.132790
3.277485   80.506906
3.285906   80.012196
3.294327   78.266513
3.302748   75.818692
3.311169   75.292208
3.319590   75.393338
3.328012   73.937765
3.336433   73.541932
3.344854   74.065297
3.353275   73.351210
3.361696   74.256844
3.370117   76.813174
3.378538   78.549308
3.386959   79.692981
3.395380   80.575880
3.403801   80.913944
3.412222   80.923274
3.420643   80.954665
3.429064   81.055502
3.437485   81.120223
3.445906   81.039190
3.454327   80.893652
3.462748   80.721443
3.471169   80.566144
3.479590   80.570605
3.488012   80.706018
3.496433   80.895401
3.504854   81.089413
3.513275   81.177899
3.521696   81.042489
3.530117   80.541829
3.538538   79.637439
3.546959   78.507224
3.555380   77.312784
3.563801   76.201950
3.572222   75.292270
3.580643   74.919129
3.589064   75.500301
3.597485   76.020447
3.605906   75.549987
3.614327   75.422355
3.622748   75.956680
3.631169   75.593730
3.639590   75.095045
3.648012   74.429160
3.656433   73.892244
3.664854   73.878061
3.673275   73.559598
3.681696   72.553935
3.690117   71.195821
3.698538   69.092566
3.706959   66.089676
3.715380   63.936609
3.723801   64.159552
3.732222   65.822991
3.740643   66.961144
3.749064   66.127163
3.757485   65.399262
3.765906   66.875776
3.774327   68.524878
3.782748   70.244979
3.791169   71.470600
3.799590   72.146185
3.808012   72.634254
3.816433   72.799824
3.824854   72.762563
3.833275   72.599250
3.841696   72.009894
3.850117   71.171539
3.858538   70.293727
3.866959   69.521768
3.875380   69.025979
3.883801   68.774178
3.892222   68.667890
3.900643   68.329141
3.909064   67.562773
3.917485   66.768875
3.925906   66.354331
3.934327   66.416503
3.942748   67.034647
3.951169   68.007010
3.959590   68.893626
3.968012   69.476506
3.976433   69.969744
3.984854   70.405249
3.993275   70.645892
4.001696   70.689618
4.010117   70.639581
4.018538   70.597870
4.026959   70.649149
4.035380   70.760690
4.043801   70.860960
4.052222   70.937466
4.060643   70.965530
4.069064   70.865503
4.077485   70.773039
4.085906   70.762358
4.094327   70.742463
4.102748   70.715261
4.111169   70.790742
4.119590   70.973107
4.128012   71.201941
4.136433   71.392100
4.144854   71.496362
4.153275   71.447836
4.161696   71.214183
4.170117   70.888387
4.178538   70.604725
4.186959   70.386632
4.195380   70.155414
4.203801   69.873812
4.212222   69.454642
4.220643   68.944315
4.229064   68.466104
4.237485   68.053606
4.245906   67.851877
4.254327   67.934256
4.262748   68.130444
4.271169   68.388883
4.279590   68.554732
4.288012   68.429380
4.296433   68.053344
4.304854   67.495279
4.313275   66.458909
4.321696   65.626877
4.330117   66.492721
4.338538   67.655456
4.346959   67.744468
4.355380   66.588016
4.363801   64.300194
4.372222   61.885344
4.380643   61.543801
4.389064   62.017030
4.397485   61.448794
4.405906   61.408348
4.414327   62.830199
4.422748   63.181749
4.431169   61.435175
4.439590   59.614322
4.448012   59.398904
4.456433   58.754276
4.464854   57.847270
4.473275   57.067190
4.481696   55.700152
4.490117   54.900219
4.498538   55.216686
4.506959   55.638990
4.515380   55.225760
4.523801   54.418094
4.532222   54.216061
4.540643   54.901155
4.549064   55.090050
4.557485   54.567648
4.565906   53.807563
4.574327   53.055560
4.582748   53.231633
4.591169   53.851656
4.599590   54.785267
4.608012   56.611687
4.616433   57.932318
4.624854   58.247494
4.633275   58.454048
4.641696   57.790838
4.650117   55.515370
4.658538   52.047241
4.666959   49.042589
4.675380   47.325990
4.683801   45.496680
4.692222   44.575996
4.700643   51.218663
4.709064   64.776046
4.717485   75.686935
4.725906   81.805367
4.734327   83.902141
4.742748   83.564344
4.751169   82.962336
4.759590   81.593865
4.768012   78.401650
4.776433   77.137011
4.784854   79.157449
4.793275   80.256030
4.801696   80.110031
4.810117   79.049992
4.818538   77.575671
4.826959   77.130943
4.835380   77.953462
4.843801   78.061600
4.852222   77.523426
4.860643   77.133752
4.869064   76.714854
4.877485   75.768093
4.885906   73.456940
4.894327   69.537018
4.902748   65.151769
4.911169   60.888778
4.919590   56.106361
4.928012   56.338050
4.936433   58.341040
4.944854   58.714201
4.953275   58.642820
4.961696   68.925162
4.970117   79.874172
4.978538   86.429554
4.986959   89.127060
4.995380   88.672850
5.003801   86.658954
5.012222   85.823355
5.020643   85.656087
5.029064   85.007085
5.037485   84.639337
5.045906   84.441157
5.054327   84.135555
5.062748   84.213746
5.071169   84.286178
5.079590   84.015683
5.088012   84.038453
5.096433   84.360422
5.104854   84.903278
5.113275   85.219828
5.121696   85.140789
5.130117   84.681820
5.138538   84.253879
5.146959   84.362529
5.155380   84.820309
5.163801   84.642845
5.172222   82.289476
5.180643   77.156489
5.189064   72.725988
5.197485   71.857544
5.205906   69.876544
5.214327   65.881782
5.222748   63.130721
5.231169   62.785320
5.239590   62.302765
5.248012   61.525729
5.256433   59.994154
5.264854   57.659413
5.273275   59.514119
5.281696   63.036849
5.290117   64.634071
5.298538   69.760529
5.306959   77.764511
5.315380   81.948910
5.323801   82.843252
5.332222   82.248584
5.340643   81.473831
5.349064   80.518583
5.357485   78.881696
5.365906   76.179784
5.374327   74.689337
5.382748   72.472109
5.391169   67.175277
5.399590   67.200525
5.408012   76.180818
5.416433   81.341121
5.424854   81.928067
5.433275   79.039814
5.441696   79.727998
5.450117   83.560485
5.458538   85.822223
5.466959   87.711647
5.475380   89.395493
5.483801   90.398512
5.492222   90.633440
5.500643   90.215258
5.509064   89.381504
5.517485   88.580101
5.525906   88.226912
5.534327   88.061973
5.542748   87.692405
5.551169   86.739699
5.559590   84.733096
5.568012   81.401824
5.576433   78.186173
5.584854   78.358866
5.593275   79.180932
5.601696   79.002574
5.610117   78.936269
5.618538   79.868447
5.626959   81.203382
5.635380   82.116490
5.643801   82.372115
5.652222   82.140076
5.660643   81.529766
5.669064   80.500517
5.677485   79.022932
5.685906   77.157617
5.694327   75.696258
5.702748   75.807109
5.711169   77.315551
5.719590   79.421160
5.728012   81.386449
5.736433   82.616326
5.744854   82.850089
5.753275   82.332384
5.761696   81.680925
5.770117   81.382593
5.778538   81.446199
5.786959   81.616446
5.795380   81.879982
5.803801   82.676735
5.812222   84.330094
5.820643   84.610731
5.829064   81.849823
5.837485   78.474592
5.845906   76.899245
5.854327   73.150829
5.862748   68.328691
5.871169   67.970729
5.879590   68.261527
5.888012   67.518913
5.896433   65.884724
5.904854   64.251992
5.913275   63.613948
5.921696   64.179577
5.930117   64.312573
5.938538   62.151524
5.946959   57.636211
5.955380   52.849848
5.963801   48.834777
5.972222   46.810094
5.980643   47.456256
5.989064   49.463266
5.997485   56.630592
6.005906   69.423002
6.014327   77.697717
6.022748   81.757565
6.031169   82.613334
6.039590   81.874474
6.048012   81.916215
6.056433   82.329030
6.064854   82.121181
6.073275   82.158811
6.081696   82.984520
6.090117   83.589315
6.098538   83.714052
6.106959   83.756588
6.115380   83.825374
6.123801   83.851072
6.132222   83.738047
6.140643   83.554296
6.149064   83.396172
6.157485   83.287148
6.165906   83.259275
6.174327   83.267507
6.182748   83.220383
6.191169   83.115674
6.199590   83.028095
6.208012   83.136754
6.216433   83.433675
6.224854   83.740731
6.233275   84.014156
6.241696   84.245253
6.250117   84.431294
6.258538   84.555725
6.266959   84.447599
6.275380   83.575998
6.283801   81.318766
6.292222   78.357383
6.300643   76.759774
6.309064   76.150344
6.317485   75.731686
6.325906   73.892283
6.334327   70.749196
6.342748   67.415144
6.351169   65.226261
6.359590   66.659928
6.368012   68.721808
6.376433   69.755909
6.384854   71.479463
6.393275   74.224469
6.401696   76.479467
6.410117   77.956872
6.418538   78.956212
6.426959   79.590342
6.435380   80.202226
6.443801   80.998358
6.452222   81.758800
6.460643   82.314385
6.469064   82.458107
6.477485   82.127084
6.485906   81.559055
6.494327   81.046438
6.502748   80.850988
6.511169   80.982637
6.519590   81.177412
6.528012   81.258708
6.536433   81.155866
6.544854   80.763290
6.553275   80.021774
6.561696   78.977770
6.570117   77.834953
6.578538   77.148590
6.586959   77.542003
6.595380   78.766179
6.603801   80.068382
6.612222   81.073044
6.620643   81.703880
6.629064   81.971178
6.637485   81.989325
6.645906   81.837115
6.654327   81.456565
6.662748   80.631661
6.671169   78.976412
6.679590   76.599002
6.688012   75.922796
6.696433   76.549421
6.704854   75.881141
6.713275   74.533582
6.721696   72.616414
6.730117   69.485485
6.738538   65.318519
6.746959   61.129650
6.755380   60.709094
6.763801   61.795258
6.772222   61.092928
6.780643   58.827906
6.789064   56.902774
6.797485   56.014171
6.805906   55.544823
6.814327   55.321473
6.822748   55.083322
6.831169   54.000218
6.839590   52.291138
6.848012   51.347537
6.856433   52.090435
6.864854   53.374870
6.873275   53.491669
6.881696   52.757129
6.890117   51.315685
6.898538   49.873121
6.906959   51.197050
6.915380   54.548635
6.923801   56.564183
