Time_s   F0_Hz
0.019605   572.370152
0.027500   571.111927
0.035395   --undefined--
0.043289   --undefined--
0.051184   419.347196
0.059079   408.382284
0.066974   401.879329
0.074868   408.174981
0.082763   417.767629
0.090658   426.525860
0.098553   433.661848
0.106447   436.341364
0.114342   436.435957
0.122237   436.202974
0.130132   435.709420
0.138026   435.758286
0.145921   427.938266
0.153816   426.952174
0.161711   436.509294
0.169605   442.057280
0.177500   449.499872
0.185395   452.543155
0.193289   442.522612
0.201184   425.937448
0.209079   417.988359
0.216974   --undefined--
0.224868   --undefined--
0.232763   --undefined--
0.240658   --undefined--
0.248553   --undefined--
0.256447   --undefined--
0.264342   --undefined--
0.272237   --undefined--
0.280132   --undefined--
0.288026   --undefined--
0.295921   274.836230
0.303816   262.030932
0.311711   241.058555
0.319605   214.895747
0.327500   194.570610
0.335395   189.282167
0.343289   184.683185
0.351184   184.402257
0.359079   182.415141
0.366974   180.318704
0.374868   178.345185
0.382763   176.523061
0.390658   175.770888
0.398553   175.875253
0.406447   175.993424
0.414342   177.557941
0.422237   178.598568
0.430132   179.767575
0.438026   181.724658
0.445921   185.592818
0.453816   189.829911
0.461711   198.616554
0.469605   204.606841
0.477500   220.421708
0.485395   230.488910
0.493289   241.634787
0.501184   250.503915
0.509079   258.175822
0.516974   268.225403
0.524868   281.236609
0.532763   293.118211
0.540658   305.967397
0.548553   321.203305
0.556447   336.399009
0.564342   349.795116
0.572237   356.609216
0.580132   362.461478
0.588026   356.303597
0.595921   --undefined--
0.603816   --undefined--
0.611711   --undefined--
0.619605   --undefined--
0.627500   --undefined--
0.635395   --undefined--
0.643289   --undefined--
0.651184   --undefined--
0.659079   --undefined--
0.666974   --undefined--
0.674868   --undefined--
0.682763   --undefined--
0.690658   --undefined--
0.698553   --undefined--
0.706447   --undefined--
0.714342   --undefined--
0.722237   --undefined--
0.730132   --undefined--
0.738026   --undefined--
0.745921   --undefined--
0.753816   --undefined--
0.761711   --undefined--
0.769605   --undefined--
0.777500   --undefined--
0.785395   --undefined--
0.793289   --undefined--
0.801184   --undefined--
0.809079   --undefined--
0.816974   --undefined--
0.824868   --undefined--
0.832763   --undefined--
0.840658   --undefined--
0.848553   --undefined--
0.856447   --undefined--
0.864342   --undefined--
0.872237   --undefined--
0.880132   --undefined--
0.888026   --undefined--
0.895921   193.340731
0.903816   191.110542
0.911711   189.336251
0.919605   188.351924
0.927500   188.443144
0.935395   187.921005
0.943289   184.741536
0.951184   183.364626
0.959079   189.075691
0.966974   189.496366
0.974868   190.044365
0.982763   189.927850
0.990658   188.226995
0.998553   184.838094
1.006447   181.401226
1.014342   176.913330
1.022237   180.884609
1.030132   183.142242
1.038026   183.539790
1.045921   183.558265
1.053816   182.955521
1.061711   182.411172
1.069605   182.691535
1.077500   183.345321
1.085395   184.169880
1.093289   183.382842
1.101184   181.861412
1.109079   180.764928
1.116974   180.097997
1.124868   180.167046
1.132763   181.667627
1.140658   184.049203
1.148553   186.374701
1.156447   187.309037
1.164342   187.303652
1.172237   186.507173
1.180132   186.047301
1.188026   187.469975
1.195921   189.472938
1.203816   190.996389
1.211711   192.946424
1.219605   194.863354
1.227500   196.694709
1.235395   199.114276
1.243289   201.421224
1.251184   203.141603
1.259079   205.487548
1.266974   207.495110
1.274868   208.841350
1.282763   209.324845
1.290658   214.963393
1.298553   215.713176
1.306447   215.646797
1.314342   215.465932
1.322237   214.239794
1.330132   212.148086
1.338026   209.172425
1.345921   206.401621
1.353816   203.292907
1.361711   200.221039
1.369605   200.143837
1.377500   191.066227
1.385395   185.250458
1.393289   181.186484
1.401184   176.668693
1.409079   173.953847
1.416974   172.673838
1.424868   172.983369
1.432763   173.707228
1.440658   174.296022
1.448553   174.502419
1.456447   174.632401
1.464342   174.338392
1.472237   --undefined--
1.480132   --undefined--
1.488026   --undefined--
1.495921   --undefined--
1.503816   --undefined--
1.511711   --undefined--
1.519605   --undefined--
1.527500   --undefined--
1.535395   --undefined--
1.543289   --undefined--
1.551184   --undefined--
1.559079   --undefined--
1.566974   --undefined--
1.574868   --undefined--
1.582763   --undefined--
1.590658   --undefined--
1.598553   --undefined--
1.606447   --undefined--
