Time_s   F0_Hz
0.019605   --undefined--
0.027500   --undefined--
0.035395   --undefined--
0.043289   --undefined--
0.051184   --undefined--
0.059079   408.231715
0.066974   401.476872
0.074868   407.825140
0.082763   417.807648
0.090658   426.733751
0.098553   433.582966
0.106447   436.245648
0.114342   436.485748
0.122237   435.937526
0.130132   435.625835
0.138026   435.810800
0.145921   428.283241
0.153816   427.350494
0.161711   436.554837
0.169605   442.148011
0.177500   449.319661
0.185395   452.165006
0.193289   442.395472
0.201184   425.006166
0.209079   412.205995
0.216974   --undefined--
0.224868   --undefined--
0.232763   --undefined--
0.240658   --undefined--
0.248553   --undefined--
0.256447   --undefined--
0.264342   --undefined--
0.272237   --undefined--
0.280132   --undefined--
0.288026   --undefined--
0.295921   274.459247
0.303816   261.902961
0.311711   240.047422
0.319605   214.949562
0.327500   194.468061
0.335395   189.649831
0.343289   184.632909
0.351184   184.321727
0.359079   182.533729
0.366974   180.292998
0.374868   178.262585
0.382763   176.567254
0.390658   175.772530
0.398553   175.817257
0.406447   175.973458
0.414342   177.606423
0.422237   178.578986
0.430132   179.760788
0.438026   181.738297
0.445921   185.606429
0.453816   189.985611
0.461711   198.441320
0.469605   204.629478
0.477500   219.881660
0.485395   230.111664
0.493289   241.380974
0.501184   250.811810
0.509079   258.097195
0.516974   268.176797
0.524868   280.412752
0.532763   292.813819
0.540658   306.592023
0.548553   320.858813
0.556447   336.105412
0.564342   349.990582
0.572237   354.791646
0.580132   361.016002
0.588026   358.348959
0.595921   --undefined--
0.603816   --undefined--
0.611711   --undefined--
0.619605   --undefined--
0.627500   --undefined--
0.635395   --undefined--
0.643289   --undefined--
0.651184   --undefined--
0.659079   --undefined--
0.666974   --undefined--
0.674868   --undefined--
0.682763   --undefined--
0.690658   --undefined--
0.698553   --undefined--
0.706447   --undefined--
0.714342   --undefined--
0.722237   --undefined--
0.730132   --undefined--
0.738026   --undefined--
0.745921   --undefined--
0.753816   --undefined--
0.761711   --undefined--
0.769605   --undefined--
0.777500   --undefined--
0.785395   --undefined--
0.793289   --undefined--
0.801184   --undefined--
0.809079   --undefined--
0.816974   --undefined--
0.824868   --undefined--
0.832763   --undefined--
0.840658   --undefined--
0.848553   --undefined--
0.856447   --undefined--
0.864342   --undefined--
0.872237   251.647352
0.880132   245.830211
0.888026   237.489479
0.895921   193.324522
0.903816   191.099530
0.911711   189.346257
0.919605   188.313414
0.927500   188.461341
0.935395   187.964729
0.943289   184.737584
0.951184   183.149642
0.959079   188.480019
0.966974   189.764025
0.974868   189.925928
0.982763   189.588275
0.990658   188.417619
0.998553   185.399486
1.006447   181.657123
1.014342   175.927460
1.022237   179.708675
1.030132   183.010036
1.038026   183.572109
1.045921   183.575610
1.053816   182.961965
1.061711   182.416958
1.069605   182.697746
1.077500   183.334204
1.085395   184.164009
1.093289   183.360032
1.101184   181.839460
1.109079   180.770430
1.116974   180.107586
1.124868   180.174168
1.132763   181.640337
1.140658   184.011479
1.148553   186.384276
1.156447   187.334494
1.164342   187.307511
1.172237   186.488248
1.180132   186.011722
1.188026   187.484101
1.195921   189.539790
1.203816   190.995961
1.211711   192.972188
1.219605   194.813469
1.227500   196.748934
1.235395   199.010806
1.243289   201.447959
1.251184   203.145523
1.259079   205.514346
1.266974   207.502246
1.274868   208.852737
1.282763   208.588626
1.290658   214.990285
1.298553   215.806862
1.306447   215.673143
1.314342   215.412903
1.322237   214.457705
1.330132   211.785843
1.338026   209.331156
1.345921   206.130896
1.353816   203.028720
1.361711   199.827508
1.369605   200.061289
1.377500   190.934493
1.385395   185.074695
1.393289   181.182736
1.401184   176.534986
1.409079   173.926833
1.416974   172.734319
1.424868   173.019620
1.432763   173.658428
1.440658   174.276692
1.448553   174.429059
1.456447   175.278820
1.464342   174.669095
1.472237   173.076732
1.480132   --undefined--
1.488026   --undefined--
