Time_s   F0_Hz
0.016250   --undefined--
0.023750   --undefined--
0.031250   --undefined--
0.038750   --undefined--
0.046250   --undefined--
0.053750   --undefined--
0.061250   --undefined--
0.068750   --undefined--
0.076250   --undefined--
0.083750   --undefined--
0.091250   --undefined--
0.098750   --undefined--
0.106250   --undefined--
0.113750   --undefined--
0.121250   --undefined--
0.128750   --undefined--
0.136250   --undefined--
0.143750   --undefined--
0.151250   --undefined--
0.158750   --undefined--
0.166250   --undefined--
0.173750   --undefined--
0.181250   --undefined--
0.188750   --undefined--
0.196250   --undefined--
0.203750   --undefined--
0.211250   --undefined--
0.218750   --undefined--
0.226250   --undefined--
0.233750   --undefined--
0.241250   --undefined--
0.248750   --undefined--
0.256250   --undefined--
0.263750   --undefined--
0.271250   --undefined--
0.278750   --undefined--
0.286250   --undefined--
0.293750   --undefined--
0.301250   --undefined--
0.308750   --undefined--
0.316250   --undefined--
0.323750   --undefined--
0.331250   --undefined--
0.338750   --undefined--
0.346250   --undefined--
0.353750   --undefined--
0.361250   --undefined--
0.368750   --undefined--
0.376250   --undefined--
0.383750   --undefined--
0.391250   --undefined--
0.398750   --undefined--
0.406250   --undefined--
0.413750   --undefined--
0.421250   --undefined--
0.428750   --undefined--
0.436250   139.811010
0.443750   140.525451
0.451250   141.161897
0.458750   141.357625
0.466250   141.637503
0.473750   142.175188
0.481250   142.622038
0.488750   143.300716
0.496250   143.400045
0.503750   --undefined--
0.511250   --undefined--
0.518750   --undefined--
0.526250   --undefined--
0.533750   --undefined--
0.541250   --undefined--
0.548750   277.642805
0.556250   284.555566
0.563750   287.287799
0.571250   292.609981
0.578750   298.367136
0.586250   299.974378
0.593750   305.464457
0.601250   307.246788
0.608750   308.000386
0.616250   311.613517
0.623750   315.008519
0.631250   313.808727
0.638750   304.309506
0.646250   292.666301
0.653750   283.751307
0.661250   274.099459
0.668750   272.654914
0.676250   266.263771
0.683750   267.917979
0.691250   264.321497
0.698750   263.663393
0.706250   273.888667
0.713750   281.006528
0.721250   304.361475
0.728750   332.110650
0.736250   341.894099
0.743750   351.277217
0.751250   355.861267
0.758750   354.241359
0.766250   348.183965
0.773750   341.533052
0.781250   340.246931
0.788750   338.932685
0.796250   337.774954
0.803750   336.603950
0.811250   337.446108
0.818750   334.704123
0.826250   332.420928
0.833750   331.343612
0.841250   333.509779
0.848750   334.889617
0.856250   335.602504
0.863750   336.583202
0.871250   337.210878
0.878750   338.484419
0.886250   339.009480
0.893750   338.452278
0.901250   338.944524
0.908750   338.535967
0.916250   335.582848
0.923750   333.015195
0.931250   331.493520
0.938750   320.350717
0.946250   329.853359
0.953750   334.180378
0.961250   337.264669
0.968750   338.931951
0.976250   339.893551
0.983750   340.714232
0.991250   341.145225
0.998750   341.514242
1.006250   369.318697
1.013750   400.231803
1.021250   405.879961
1.028750   409.350000
1.036250   410.509923
1.043750   410.703762
1.051250   411.574492
1.058750   410.280291
1.066250   409.155412
1.073750   408.528042
1.081250   408.883347
1.088750   408.188471
1.096250   405.879164
1.103750   402.939754
1.111250   400.166062
1.118750   399.615307
1.126250   398.192051
1.133750   396.717351
1.141250   395.165153
1.148750   393.391477
1.156250   393.102473
1.163750   392.549643
1.171250   391.281409
1.178750   349.319376
1.186250   308.805429
1.193750   274.756694
1.201250   271.325687
1.208750   265.254732
1.216250   267.318320
1.223750   266.244799
1.231250   265.925132
1.238750   277.981024
1.246250   274.274465
1.253750   334.168897
1.261250   355.824750
1.268750   364.275146
1.276250   372.903747
1.283750   376.066932
1.291250   375.793912
1.298750   374.394168
1.306250   373.447410
1.313750   372.270686
1.321250   372.530905
1.328750   371.429285
1.336250   369.804258
1.343750   367.953871
1.351250   363.539212
1.358750   356.758402
1.366250   346.523651
1.373750   328.863405
1.381250   327.769140
1.388750   325.603246
1.396250   303.335091
1.403750   286.014302
1.411250   292.884548
1.418750   295.192655
1.426250   295.204158
1.433750   279.264818
1.441250   278.605295
1.448750   266.301493
1.456250   273.117426
1.463750   262.757731
1.471250   263.816114
1.478750   253.530341
1.486250   253.178570
1.493750   243.322375
1.501250   244.903696
1.508750   250.977371
1.516250   251.248771
1.523750   262.263226
1.531250   --undefined--
1.538750   --undefined--
1.546250   --undefined--
1.553750   --undefined--
1.561250   --undefined--
1.568750   --undefined--
1.576250   --undefined--
1.583750   251.051927
1.591250   251.015642
1.598750   263.576395
1.606250   293.235968
1.613750   322.877157
1.621250   343.291877
1.628750   360.677970
1.636250   365.855243
1.643750   356.790017
1.651250   353.630350
1.658750   355.936502
1.666250   357.965470
1.673750   361.055127
1.681250   364.456684
1.688750   366.470359
1.696250   368.502710
1.703750   370.539987
1.711250   372.231689
1.718750   372.152371
1.726250   372.593979
1.733750   373.848961
1.741250   374.988238
1.748750   374.758428
1.756250   374.380556
1.763750   372.909853
1.771250   370.364417
1.778750   366.640800
1.786250   361.365488
1.793750   357.871272
1.801250   357.078383
1.808750   357.891731
1.816250   358.008339
1.823750   356.552107
1.831250   354.254052
1.838750   353.329591
1.846250   351.977593
1.853750   351.366126
1.861250   350.265108
1.868750   348.821660
1.876250   347.161637
1.883750   347.821053
1.891250   360.443315
1.898750   368.193354
1.906250   368.751583
1.913750   365.480763
1.921250   356.657005
1.928750   350.866746
1.936250   356.197681
1.943750   356.129575
1.951250   353.539444
1.958750   352.978735
1.966250   --undefined--
1.973750   --undefined--
1.981250   --undefined--
1.988750   --undefined--
1.996250   --undefined--
2.003750   --undefined--
2.011250   --undefined--
2.018750   --undefined--
2.026250   --undefined--
2.033750   --undefined--
2.041250   --undefined--
2.048750   --undefined--
2.056250   --undefined--
2.063750   --undefined--
2.071250   --undefined--
2.078750   --undefined--
2.086250   --undefined--
2.093750   --undefined--
2.101250   --undefined--
2.108750   --undefined--
2.116250   --undefined--
2.123750   157.848932
2.131250   161.640160
2.138750   164.172858
2.146250   165.209342
2.153750   164.697441
2.161250   164.243635
2.168750   164.363577
2.176250   318.057190
2.183750   314.304468
2.191250   313.411863
2.198750   312.939614
2.206250   313.693459
2.213750   315.268763
2.221250   317.121347
2.228750   318.131728
