Time_s   F0_Hz
0.019605   --undefined--
0.027500   --undefined--
0.035395   --undefined--
0.043289   --undefined--
0.051184   --undefined--
0.059079   395.873028
0.066974   395.509564
0.074868   404.099586
0.082763   415.582943
0.090658   425.519039
0.098553   433.504583
0.106447   435.932933
0.114342   435.006295
0.122237   434.533279
0.130132   434.771317
0.138026   433.993231
0.145921   424.855234
0.153816   425.298695
0.161711   435.952457
0.169605   441.723622
0.177500   448.434554
0.185395   451.761447
0.193289   440.063435
0.201184   420.351293
0.209079   403.746930
0.216974   --undefined--
0.224868   --undefined--
0.232763   --undefined--
0.240658   --undefined--
0.248553   --undefined--
0.256447   --undefined--
0.264342   --undefined--
0.272237   --undefined--
0.280132   --undefined--
0.288026   288.164192
0.295921   276.508044
0.303816   263.196359
0.311711   240.867635
0.319605   212.437531
0.327500   196.174768
0.335395   188.488579
0.343289   185.007086
0.351184   184.014986
0.359079   182.797208
0.366974   180.468180
0.374868   177.886627
0.382763   176.379005
0.390658   175.849716
0.398553   175.387476
0.406447   175.034008
0.414342   175.972873
0.422237   177.450228
0.430132   178.570775
0.438026   181.427363
0.445921   185.942355
0.453816   192.577792
0.461711   196.645727
0.469605   204.297839
0.477500   218.462171
0.485395   232.318671
0.493289   239.513295
0.501184   249.213756
0.509079   256.937215
0.516974   268.021360
0.524868   281.351240
0.532763   294.833597
0.540658   307.392576
0.548553   320.381361
0.556447   334.315344
0.564342   348.844621
0.572237   352.070266
0.580132   358.537146
0.588026   349.286140
0.595921   --undefined--
0.603816   --undefined--
0.611711   --undefined--
0.619605   --undefined--
0.627500   --undefined--
0.635395   --undefined--
0.643289   --undefined--
0.651184   --undefined--
0.659079   --undefined--
0.666974   --undefined--
0.674868   --undefined--
0.682763   --undefined--
0.690658   --undefined--
0.698553   --undefined--
0.706447   --undefined--
0.714342   --undefined--
0.722237   --undefined--
0.730132   --undefined--
0.738026   --undefined--
0.745921   --undefined--
0.753816   --undefined--
0.761711   --undefined--
0.769605   --undefined--
0.777500   --undefined--
0.785395   --undefined--
0.793289   --undefined--
0.801184   --undefined--
0.809079   --undefined--
0.816974   --undefined--
0.824868   --undefined--
0.832763   --undefined--
0.840658   --undefined--
0.848553   --undefined--
0.856447   --undefined--
0.864342   252.527605
0.872237   252.146453
0.880132   244.803222
0.888026   220.554751
0.895921   194.752530
0.903816   191.309579
0.911711   188.759885
0.919605   188.147820
0.927500   188.138821
0.935395   187.385926
0.943289   182.643024
0.951184   184.841684
0.959079   188.508076
0.966974   189.999786
0.974868   189.628768
0.982763   189.305233
0.990658   188.490164
0.998553   185.779021
1.006447   183.376105
1.014342   178.293195
1.022237   177.482824
1.030132   184.842560
1.038026   183.668462
1.045921   183.112578
1.053816   181.989872
1.061711   181.149619
1.069605   181.370728
1.077500   182.142888
1.085395   183.737662
1.093289   184.166986
1.101184   183.891032
1.109079   183.631057
1.116974   182.837278
1.124868   182.238719
1.132763   182.412141
1.140658   183.421622
1.148553   184.861768
1.156447   186.126405
1.164342   186.196193
1.172237   185.152441
1.180132   185.461512
1.188026   187.824482
1.195921   190.208671
1.203816   191.332357
1.211711   192.949953
1.219605   194.607385
1.227500   196.992297
1.235395   199.616568
1.243289   202.368889
1.251184   203.770827
1.259079   205.440031
1.266974   207.158512
1.274868   207.929359
1.282763   207.090394
1.290658   213.373480
1.298553   217.606840
1.306447   216.358812
1.314342   214.685241
1.322237   213.400072
1.330132   210.977018
1.338026   209.147423
1.345921   206.823173
1.353816   203.694986
1.361711   200.318220
1.369605   199.830687
1.377500   191.394653
1.385395   185.661575
1.393289   181.373723
1.401184   176.884626
1.409079   174.528121
1.416974   171.968642
1.424868   172.290224
1.432763   173.264345
1.440658   173.868793
1.448553   174.442174
1.456447   175.383248
1.464342   173.836801
1.472237   --undefined--
1.480132   --undefined--
1.488026   --undefined--
