Time_s   Intensity_dB
0.033750   30.931413
0.041750   37.398250
0.049750   40.155608
0.057750   40.773742
0.065750   40.626894
0.073750   40.271183
0.081750   39.125553
0.089750   38.059054
0.097750   37.623700
0.105750   37.803449
0.113750   38.260698
0.121750   37.772465
0.129750   37.135791
0.137750   36.570146
0.145750   36.263758
0.153750   36.143503
0.161750   35.600485
0.169750   36.456687
0.177750   37.704999
0.185750   37.273244
0.193750   35.550278
0.201750   36.214235
0.209750   37.839773
0.217750   36.947135
0.225750   34.689390
0.233750   33.573087
0.241750   33.395172
0.249750   34.067168
0.257750   35.565793
0.265750   36.355268
0.273750   35.801407
0.281750   34.383812
0.289750   33.797745
0.297750   34.114890
0.305750   33.849414
0.313750   34.156375
0.321750   34.928374
0.329750   34.117766
0.337750   32.884377
0.345750   32.751259
0.353750   32.876620
0.361750   34.266833
0.369750   35.099479
0.377750   34.972576
0.385750   35.285332
0.393750   35.980154
0.401750   37.367801
0.409750   37.849252
0.417750   38.631260
0.425750   40.508142
0.433750   42.514744
0.441750   45.207710
0.449750   47.523974
0.457750   48.693315
0.465750   49.199245
0.473750   48.990703
0.481750   47.748216
0.489750   46.199455
0.497750   45.105819
0.505750   44.469567
0.513750   44.838735
0.521750   45.999267
0.529750   46.508637
0.537750   46.845406
0.545750   48.089602
0.553750   49.183733
0.561750   49.251088
0.569750   48.942097
0.577750   49.873504
0.585750   51.193321
0.593750   52.019023
0.601750   52.630419
0.609750   52.721792
0.617750   52.219994
0.625750   51.440482
0.633750   50.228716
0.641750   48.544553
0.649750   46.951122
0.657750   45.966997
0.665750   45.753053
0.673750   45.058580
0.681750   44.416109
0.689750   43.774589
0.697750   42.954422
0.705750   43.891514
0.713750   47.332880
0.721750   51.147630
0.729750   54.459656
0.737750   57.404187
0.745750   59.516145
0.753750   60.475345
0.761750   60.233050
0.769750   59.282769
0.777750   58.645586
0.785750   58.094366
0.793750   57.563797
0.801750   57.464980
0.809750   57.337173
0.817750   56.597028
0.825750   55.285340
0.833750   54.109471
0.841750   53.840669
0.849750   54.271673
0.857750   55.062356
0.865750   55.736900
0.873750   56.120227
0.881750   56.648404
0.889750   57.131944
0.897750   57.227538
0.905750   57.107380
0.913750   56.676101
0.921750   55.821749
0.929750   54.262751
0.937750   52.763524
0.945750   53.530032
0.953750   54.879517
0.961750   55.638385
0.969750   56.335190
0.977750   57.198047
0.985750   58.478263
0.993750   60.227642
1.001750   62.497550
1.009750   64.125431
1.017750   64.623834
1.025750   64.437128
1.033750   64.133836
1.041750   64.173075
1.049750   64.384585
1.057750   64.681833
1.065750   64.831686
1.073750   64.749562
1.081750   64.756690
1.089750   64.691512
1.097750   64.329730
1.105750   63.935381
1.113750   63.817130
1.121750   64.023064
1.129750   64.194146
1.137750   64.000548
1.145750   63.532939
1.153750   62.938070
1.161750   61.998611
1.169750   60.161293
1.177750   56.754648
1.185750   52.577189
1.193750   50.827512
1.201750   50.473310
1.209750   49.674557
1.217750   48.536988
1.225750   47.538973
1.233750   47.206036
1.241750   47.437089
1.249750   50.783043
1.257750   55.295978
1.265750   58.079134
1.273750   59.305064
1.281750   59.567052
1.289750   59.442379
1.297750   59.517284
1.305750   59.600237
1.313750   59.578452
1.321750   59.529940
1.329750   59.476586
1.337750   59.255182
1.345750   58.629308
1.353750   57.348124
1.361750   55.271078
1.369750   53.269829
1.377750   51.877302
1.385750   50.313497
1.393750   49.240621
1.401750   47.817462
1.409750   47.329865
1.417750   47.723082
1.425750   47.832174
1.433750   48.038012
1.441750   47.849499
1.449750   47.147460
1.457750   46.605473
1.465750   46.106272
1.473750   45.026804
1.481750   43.836110
1.489750   43.243449
1.497750   43.139728
1.505750   42.892320
1.513750   42.733315
1.521750   43.129439
1.529750   43.224163
1.537750   43.185459
1.545750   42.940159
1.553750   42.609985
1.561750   42.607292
1.569750   42.699190
1.577750   43.341771
1.585750   44.256018
1.593750   45.152392
1.601750   48.126340
1.609750   54.169476
1.617750   60.366978
1.625750   65.273971
1.633750   68.170152
1.641750   68.915220
1.649750   68.878807
1.657750   69.775915
1.665750   70.670671
1.673750   70.756389
1.681750   70.349343
1.689750   70.079485
1.697750   70.161504
1.705750   70.265414
1.713750   70.354986
1.721750   70.445935
1.729750   70.234888
1.737750   69.660246
1.745750   68.781111
1.753750   67.630333
1.761750   66.368223
1.769750   65.263019
1.777750   64.534611
1.785750   64.286551
1.793750   64.366322
1.801750   64.691111
1.809750   65.149424
1.817750   65.666738
1.825750   66.135425
1.833750   66.626355
1.841750   67.085946
1.849750   67.686493
1.857750   68.316759
1.865750   68.736965
1.873750   68.923079
1.881750   68.517836
1.889750   67.266365
1.897750   65.147103
1.905750   62.462264
1.913750   60.488557
1.921750   58.781439
1.929750   55.333250
1.937750   50.897718
1.945750   48.902252
1.953750   48.573054
1.961750   47.448004
1.969750   46.116847
1.977750   45.738004
1.985750   45.800935
1.993750   45.144872
2.001750   43.823927
2.009750   42.704850
2.017750   42.498434
2.025750   42.328498
2.033750   41.792884
2.041750   41.255172
2.049750   40.942768
2.057750   41.149025
2.065750   41.055380
2.073750   39.725092
2.081750   37.255317
2.089750   37.010077
2.097750   40.408797
2.105750   42.713454
2.113750   43.297845
2.121750   44.659380
2.129750   47.819315
2.137750   50.675797
2.145750   52.084785
2.153750   52.123021
2.161750   52.037884
2.169750   53.610548
2.177750   56.020224
2.185750   57.466259
2.193750   58.366559
2.201750   59.205682
2.209750   59.635749
2.217750   59.795911
2.225750   60.010744
2.233750   59.897649
2.241750   58.360136
2.249750   54.913212
2.257750   51.596391
2.265750   50.852223
2.273750   50.360175
2.281750   49.889406
2.289750   49.843560
2.297750   50.159181
2.305750   50.438542
2.313750   51.007935
2.321750   51.573048
2.329750   52.105257
2.337750   55.106183
2.345750   60.427671
2.353750   63.819338
2.361750   65.011288
2.369750   65.501455
2.377750   66.301634
2.385750   67.284308
2.393750   68.142832
2.401750   68.720000
2.409750   68.971992
2.417750   69.010454
2.425750   68.914926
2.433750   68.757356
2.441750   68.953528
2.449750   69.384069
2.457750   69.633832
2.465750   69.770147
2.473750   69.976579
2.481750   70.079850
2.489750   69.906403
2.497750   69.462756
2.505750   69.399311
2.513750   69.848386
2.521750   70.216945
2.529750   70.592812
2.537750   70.972944
2.545750   71.269393
2.553750   71.331897
2.561750   70.691911
2.569750   68.892506
2.577750   66.334336
2.585750   64.756991
2.593750   65.380362
2.601750   66.136740
2.609750   65.057751
2.617750   61.768487
2.625750   57.577739
2.633750   54.816025
2.641750   53.478844
2.649750   52.995455
2.657750   53.806446
2.665750   56.525324
2.673750   59.058098
2.681750   60.334927
2.689750   60.430858
2.697750   59.927403
2.705750   59.410346
2.713750   59.002790
2.721750   58.454161
2.729750   57.801643
2.737750   57.206718
2.745750   56.613251
2.753750   55.794133
2.761750   54.322170
2.769750   52.411107
2.777750   51.575014
2.785750   51.712562
2.793750   51.809851
2.801750   51.687202
2.809750   51.167427
2.817750   50.479984
2.825750   49.941985
2.833750   49.806366
2.841750   50.113878
2.849750   50.164892
2.857750   50.039040
2.865750   50.131336
2.873750   50.200117
2.881750   49.706533
2.889750   48.276873
2.897750   45.906209
2.905750   43.359804
2.913750   40.989314
2.921750   38.951640
2.929750   37.441654
2.937750   36.274256
2.945750   35.279664
2.953750   33.692876
2.961750   32.595606
2.969750   33.497867
2.977750   34.051279
2.985750   33.895441
2.993750   32.811431
3.001750   31.738888
3.009750   32.012448
3.017750   31.887048
3.025750   32.011809
3.033750   32.810852
3.041750   33.301098
3.049750   33.614892
3.057750   36.717921
3.065750   42.006211
3.073750   44.556279
3.081750   44.240271
3.089750   44.208052
3.097750   46.896870
3.105750   49.678975
3.113750   52.179741
3.121750   54.443578
3.129750   56.835283
3.137750   58.660432
3.145750   58.992863
3.153750   58.422775
3.161750   58.110251
3.169750   57.665039
3.177750   56.862629
3.185750   56.703557
3.193750   57.001041
3.201750   56.836924
3.209750   56.730429
3.217750   56.306016
3.225750   54.886638
3.233750   52.631298
3.241750   50.905415
3.249750   50.825071
3.257750   50.636277
3.265750   49.180154
3.273750   46.393437
3.281750   42.817789
3.289750   40.937125
3.297750   40.503758
3.305750   39.513635
3.313750   37.491955
3.321750   35.671003
3.329750   34.416971
3.337750   34.632847
3.345750   36.983944
3.353750   38.749020
3.361750   39.910299
3.369750   40.371291
3.377750   40.668901
3.385750   41.224247
3.393750   41.966514
3.401750   42.477798
3.409750   42.569563
3.417750   42.379632
3.425750   42.323022
3.433750   42.313547
3.441750   41.700121
3.449750   41.044224
3.457750   41.272114
3.465750   41.716422
3.473750   41.537360
3.481750   41.247409
3.489750   41.100173
3.497750   40.914572
3.505750   40.482467
