Time_s   F0_Hz
0.019605   --undefined--
0.027500   --undefined--
0.035395   --undefined--
0.043289   --undefined--
0.051184   --undefined--
0.059079   410.289940
0.066974   402.843495
0.074868   408.358750
0.082763   416.829161
0.090658   426.337021
0.098553   434.243941
0.106447   435.377893
0.114342   436.338249
0.122237   435.874835
0.130132   434.824185
0.138026   435.349067
0.145921   428.001265
0.153816   427.068383
0.161711   439.134387
0.169605   442.182049
0.177500   446.185989
0.185395   448.653998
0.193289   440.291124
0.201184   414.319033
0.209079   414.194814
0.216974   --undefined--
0.224868   --undefined--
0.232763   --undefined--
0.240658   --undefined--
0.248553   --undefined--
0.256447   --undefined--
0.264342   --undefined--
0.272237   --undefined--
0.280132   --undefined--
0.288026   --undefined--
0.295921   273.136783
0.303816   261.654774
0.311711   240.803670
0.319605   214.162212
0.327500   194.510129
0.335395   189.712466
0.343289   185.038967
0.351184   184.152614
0.359079   183.118019
0.366974   179.971423
0.374868   178.385207
0.382763   176.568800
0.390658   175.761987
0.398553   175.633002
0.406447   176.059952
0.414342   177.510060
0.422237   178.615428
0.430132   179.917380
0.438026   181.998722
0.445921   184.744539
0.453816   192.135818
0.461711   198.379831
0.469605   203.250795
0.477500   221.236321
0.485395   229.126961
0.493289   243.648667
0.501184   250.703629
0.509079   257.443820
0.516974   264.428254
0.524868   278.522722
0.532763   291.978185
0.540658   306.022274
0.548553   319.358698
0.556447   331.160176
0.564342   352.714596
0.572237   353.047666
0.580132   360.368635
0.588026   --undefined--
0.595921   --undefined--
0.603816   --undefined--
0.611711   --undefined--
0.619605   --undefined--
0.627500   --undefined--
0.635395   --undefined--
0.643289   --undefined--
0.651184   --undefined--
0.659079   --undefined--
0.666974   --undefined--
0.674868   --undefined--
0.682763   --undefined--
0.690658   --undefined--
0.698553   --undefined--
0.706447   --undefined--
0.714342   --undefined--
0.722237   --undefined--
0.730132   --undefined--
0.738026   --undefined--
0.745921   --undefined--
0.753816   --undefined--
0.761711   --undefined--
0.769605   --undefined--
0.777500   --undefined--
0.785395   --undefined--
0.793289   --undefined--
0.801184   --undefined--
0.809079   --undefined--
0.816974   --undefined--
0.824868   --undefined--
0.832763   --undefined--
0.840658   --undefined--
0.848553   --undefined--
0.856447   --undefined--
0.864342   --undefined--
0.872237   --undefined--
0.880132   --undefined--
0.888026   --undefined--
0.895921   193.197428
0.903816   191.026842
0.911711   188.820612
0.919605   188.311494
0.927500   188.740471
0.935395   188.500547
0.943289   183.054291
0.951184   183.818911
0.959079   189.523608
0.966974   189.613330
0.974868   190.149285
0.982763   189.839479
0.990658   187.916488
0.998553   185.844568
1.006447   185.489339
1.014342   184.501284
1.022237   184.099128
1.030132   181.807799
1.038026   183.224405
1.045921   183.564785
1.053816   182.996654
1.061711   182.283704
1.069605   182.653075
1.077500   183.367287
1.085395   184.152656
1.093289   183.373842
1.101184   181.770092
1.109079   180.854103
1.116974   180.039865
1.124868   180.282676
1.132763   181.708033
1.140658   184.319999
1.148553   186.574022
1.156447   187.290103
1.164342   187.166595
1.172237   186.558402
1.180132   186.207678
1.188026   187.514510
1.195921   189.435269
1.203816   191.115099
1.211711   192.863138
1.219605   194.565967
1.227500   196.567184
1.235395   198.974902
1.243289   201.409560
1.251184   203.018063
1.259079   205.531982
1.266974   207.894202
1.274868   208.275516
1.282763   207.933977
1.290658   215.038306
1.298553   214.688661
1.306447   215.242110
1.314342   215.124671
1.322237   214.561654
1.330132   211.712897
1.338026   211.152015
1.345921   204.137844
1.353816   203.499413
1.361711   200.243092
1.369605   200.988441
1.377500   191.455135
1.385395   185.718406
1.393289   181.273900
1.401184   176.440191
1.409079   173.483116
1.416974   173.161607
1.424868   172.960800
1.432763   173.630977
1.440658   174.376556
1.448553   175.215061
1.456447   175.729378
1.464342   173.284499
1.472237   --undefined--
1.480132   --undefined--
1.488026   --undefined--
