Time_s   F0_Hz
0.019605   568.879733
0.027500   569.022462
0.035395   --undefined--
0.043289   --undefined--
0.051184   --undefined--
0.059079   408.321394
0.066974   401.525494
0.074868   407.861273
0.082763   417.846162
0.090658   426.711909
0.098553   433.574352
0.106447   436.266862
0.114342   436.503492
0.122237   435.977392
0.130132   435.626336
0.138026   435.693763
0.145921   428.138411
0.153816   427.372450
0.161711   436.541008
0.169605   442.102352
0.177500   449.275546
0.185395   452.149289
0.193289   442.399607
0.201184   424.934945
0.209079   410.949559
0.216974   --undefined--
0.224868   --undefined--
0.232763   --undefined--
0.240658   --undefined--
0.248553   --undefined--
0.256447   --undefined--
0.264342   --undefined--
0.272237   --undefined--
0.280132   --undefined--
0.288026   --undefined--
0.295921   274.246693
0.303816   261.941663
0.311711   240.233522
0.319605   214.924389
0.327500   194.427443
0.335395   189.609310
0.343289   184.634062
0.351184   184.321641
0.359079   182.529462
0.366974   180.300865
0.374868   178.256155
0.382763   176.578421
0.390658   175.769489
0.398553   175.800453
0.406447   175.973413
0.414342   177.604830
0.422237   178.580250
0.430132   179.751110
0.438026   181.714077
0.445921   185.578031
0.453816   189.853178
0.461711   198.504172
0.469605   204.528387
0.477500   219.932168
0.485395   230.073250
0.493289   241.376033
0.501184   250.786487
0.509079   258.097768
0.516974   268.248658
0.524868   280.385611
0.532763   292.725013
0.540658   306.459889
0.548553   320.860363
0.556447   336.202487
0.564342   350.051258
0.572237   354.707586
0.580132   360.600856
0.588026   355.974723
0.595921   --undefined--
0.603816   --undefined--
0.611711   --undefined--
0.619605   --undefined--
0.627500   --undefined--
0.635395   --undefined--
0.643289   --undefined--
0.651184   --undefined--
0.659079   --undefined--
0.666974   --undefined--
0.674868   --undefined--
0.682763   --undefined--
0.690658   --undefined--
0.698553   --undefined--
0.706447   --undefined--
0.714342   --undefined--
0.722237   --undefined--
0.730132   --undefined--
0.738026   --undefined--
0.745921   --undefined--
0.753816   --undefined--
0.761711   --undefined--
0.769605   --undefined--
0.777500   --undefined--
0.785395   --undefined--
0.793289   --undefined--
0.801184   --undefined--
0.809079   --undefined--
0.816974   --undefined--
0.824868   --undefined--
0.832763   --undefined--
0.840658   --undefined--
0.848553   --undefined--
0.856447   --undefined--
0.864342   --undefined--
0.872237   252.393749
0.880132   245.961451
0.888026   236.459257
0.895921   193.317352
0.903816   191.117513
0.911711   189.330591
0.919605   188.328104
0.927500   188.471390
0.935395   187.973878
0.943289   184.739867
0.951184   183.276495
0.959079   188.491144
0.966974   189.746791
0.974868   189.969150
0.982763   189.547916
0.990658   188.468464
0.998553   185.384222
1.006447   181.733493
1.014342   176.143713
1.022237   179.980233
1.030132   183.116757
1.038026   183.586821
1.045921   183.559753
1.053816   182.963969
1.061711   182.405749
1.069605   182.700801
1.077500   183.340953
1.085395   184.161410
1.093289   183.360274
1.101184   181.843563
1.109079   180.779277
1.116974   180.105166
1.124868   180.169996
1.132763   181.636272
1.140658   184.019289
1.148553   186.398289
1.156447   187.340582
1.164342   187.308565
1.172237   186.483344
