Time_s   F0_Hz
0.019526   --undefined--
0.027421   --undefined--
0.035316   --undefined--
0.043211   --undefined--
0.051105   --undefined--
0.059000   --undefined--
0.066895   --undefined--
0.074789   --undefined--
0.082684   --undefined--
0.090579   --undefined--
0.098474   --undefined--
0.106368   --undefined--
0.114263   --undefined--
0.122158   --undefined--
0.130053   --undefined--
0.137947   262.193341
0.145842   260.728867
0.153737   270.504014
0.161632   314.974740
0.169526   324.694108
0.177421   347.725780
0.185316   353.658575
0.193211   358.935376
0.201105   364.545788
0.209000   371.222677
0.216895   376.593585
0.224789   381.778187
0.232684   388.052459
0.240579   393.653610
0.248474   398.546290
0.256368   405.544392
0.264263   410.039513
0.272158   413.843329
0.280053   418.128453
0.287947   422.541338
0.295842   424.952009
0.303737   427.106458
0.311632   432.563881
0.319526   439.959366
0.327421   445.571969
0.335316   448.705156
0.343211   453.719784
0.351105   457.300829
0.359000   459.933289
0.366895   462.494055
0.374789   466.644392
0.382684   469.963100
0.390579   471.034706
0.398474   470.867434
0.406368   479.301142
0.414263   485.770629
0.422158   483.297626
0.430053   484.001647
0.437947   482.175140
0.445842   475.744170
0.453737   470.778830
0.461632   470.949874
0.469526   468.159501
0.477421   463.197940
0.485316   460.888267
0.493211   457.368132
0.501105   455.586955
0.509000   455.835485
0.516895   455.278694
0.524789   454.968837
0.532684   452.612765
0.540579   448.723800
0.548474   446.474066
0.556368   441.043529
0.564263   437.941409
0.572158   429.893136
0.580053   419.565001
0.587947   415.416706
0.595842   410.377769
0.603737   406.991348
0.611632   405.067765
0.619526   404.153554
0.627421   402.186979
0.635316   398.173530
0.643211   395.438530
0.651105   392.990574
0.659000   391.319794
0.666895   390.061736
0.674789   388.812429
0.682684   388.003300
0.690579   388.001092
0.698474   388.033577
0.706368   388.534875
0.714263   388.966623
0.722158   387.950532
0.730053   386.184724
0.737947   383.975801
0.745842   381.297782
0.753737   375.118480
0.761632   366.597323
0.769526   369.430877
0.777421   378.121060
0.785316   381.264387
0.793211   381.264005
0.801105   381.041408
0.809000   330.144176
0.816895   333.462259
0.824789   364.471071
0.832684   372.466796
0.840579   378.230907
0.848474   376.748018
0.856368   376.166561
0.864263   375.556375
0.872158   --undefined--
0.880053   --undefined--
0.887947   --undefined--
0.895842   306.060403
0.903737   313.603327
0.911632   317.340657
0.919526   320.365820
0.927421   325.417795
0.935316   332.227537
0.943211   335.540185
0.951105   336.606392
0.959000   336.739394
0.966895   336.685423
0.974789   337.326320
0.982684   337.071061
0.990579   335.345533
0.998474   334.204462
1.006368   332.904303
1.014263   331.542286
1.022158   329.774845
1.030053   328.265043
1.037947   327.785791
1.045842   325.712666
1.053737   323.264859
1.061632   321.370493
1.069526   317.331317
1.077421   312.491419
1.085316   308.532910
1.093211   305.673200
1.101105   302.323269
1.109000   298.594197
1.116895   297.420091
1.124789   296.218723
1.132684   294.947195
1.140579   294.656310
1.148474   293.710268
1.156368   294.711554
1.164263   296.219239
1.172158   296.993981
1.180053   298.906513
1.187947   303.546324
1.195842   305.594158
1.203737   307.986857
1.211632   309.378936
1.219526   310.820510
1.227421   311.807530
1.235316   312.099191
1.243211   312.118502
1.251105   311.100975
1.259000   311.001845
1.266895   310.797629
1.274789   310.524689
1.282684   309.162879
1.290579   306.307343
1.298474   294.239576
1.306368   290.614636
1.314263   286.134595
1.322158   284.535422
1.330053   284.614506
1.337947   285.455685
1.345842   285.969955
1.353737   284.923381
1.361632   287.731433
1.369526   289.632176
1.377421   290.599337
1.385316   291.011715
1.393211   291.867763
1.401105   297.075375
1.409000   301.972210
1.416895   303.218576
1.424789   300.634684
1.432684   301.230678
1.440579   301.958835
1.448474   304.489687
1.456368   308.490141
1.464263   305.002174
1.472158   302.406208
1.480053   302.832236
1.487947   303.578394
1.495842   304.449118
1.503737   304.504145
1.511632   302.379937
1.519526   299.480798
1.527421   295.232549
1.535316   294.549574
1.543211   295.091073
1.551105   295.867434
1.559000   289.942184
1.566895   278.499142
1.574789   278.574701
1.582684   275.347011
1.590579   262.852846
1.598474   257.572362
1.606368   254.152078
1.614263   249.829923
1.622158   246.844297
1.630053   242.374970
1.637947   241.797246
1.645842   240.315233
1.653737   237.411024
1.661632   233.532885
1.669526   234.951232
1.677421   240.911913
1.685316   242.775999
1.693211   239.859577
1.701105   235.568267
1.709000   237.024247
1.716895   238.508214
1.724789   240.233405
1.732684   242.509083
1.740579   240.160136
1.748474   237.287014
1.756368   239.834810
1.764263   238.130017
1.772158   237.196228
1.780053   --undefined--
1.787947   --undefined--
1.795842   292.254909
1.803737   288.523135
1.811632   288.360006
1.819526   287.926846
1.827421   286.704255
1.835316   285.468027
1.843211   284.544985
1.851105   284.519813
1.859000   285.256080
1.866895   286.126595
1.874789   287.191236
1.882684   290.052490
1.890579   292.910254
1.898474   292.647765
1.906368   291.742733
1.914263   292.223900
1.922158   293.588084
1.930053   292.463719
1.937947   291.190761
1.945842   290.743330
1.953737   291.820343
1.961632   293.761081
1.969526   294.767831
1.977421   293.858989
1.985316   293.895369
1.993211   295.096137
2.001105   294.985361
2.009000   295.155370
2.016895   295.418348
2.024789   295.711490
2.032684   295.341612
2.040579   295.154519
2.048474   295.158021
2.056368   295.272827
2.064263   296.342816
2.072158   296.115422
2.080053   292.617097
2.087947   292.704210
2.095842   292.894687
2.103737   292.373170
2.111632   292.446720
2.119526   293.908579
2.127421   295.308884
2.135316   296.550872
2.143211   298.033250
2.151105   299.166734
2.159000   299.819630
2.166895   299.852784
2.174789   299.942073
2.182684   300.909455
2.190579   301.782120
2.198474   302.036843
2.206368   302.593859
2.214263   303.318929
2.222158   304.004741
2.230053   304.713635
2.237947   306.118297
2.245842   307.999697
2.253737   309.137002
2.261632   311.532965
2.269526   314.802733
2.277421   318.318429
2.285316   323.540568
2.293211   328.849030
2.301105   330.865924
2.309000   318.106522
2.316895   316.766669
2.324789   320.187242
2.332684   321.196606
2.340579   319.552233
2.348474   323.253080
2.356368   327.437237
2.364263   331.466688
2.372158   331.493369
2.380053   315.749446
2.387947   314.144371
